,dim,pmax,cap
0,10.0,1.0,1.0
1,10.0,2.0,1.0
2,10.0,3.0,1.0
3,10.0,4.0,1.0
4,10.0,5.0,1.0
5,10.0,6.0,1.0
6,10.0,7.0,1.0
7,10.0,8.0,1.0
8,10.0,9.0,1.0
9,10.0,10.0,1.0
10,10.0,11.0,1.0
11,10.0,12.0,1.0
12,10.0,13.0,0.9933333333333331
13,10.0,14.0,0.9812500000000001
14,10.0,15.0,0.9552941176470598
15,10.0,16.0,0.9244444444444463
16,10.0,17.0,0.8643478260869567
17,10.0,18.0,0.799193548387096
18,10.0,19.0,0.7193589743589751
19,10.0,20.0,0.6396629213483166
20,10.0,21.0,0.5468750000000002
21,10.0,22.0,0.45874999999999977
22,10.0,23.0,0.3882608695652167
23,10.0,24.0,0.30463414634146324
24,10.0,25.0,0.2378571428571432
25,10.0,26.0,0.1879661016949154
26,10.0,27.0,0.14312500000000014
27,10.0,28.0,0.11256410256410257
28,10.0,29.0,0.08580645161290323
29,10.0,30.0,0.05210526315789477
30,10.0,31.0,0.04352941176470584
31,10.0,32.0,0.028181818181818197
32,10.0,33.0,0.011999999999999988
33,10.0,34.0,0.011999999999999992
34,10.0,35.0,0.01333333333333334
35,10.0,36.0,0.006666666666666664
36,10.0,37.0,0.0
37,9.0,1.0,1.0
38,9.0,2.0,1.0
39,9.0,3.0,1.0
40,9.0,4.0,1.0
41,9.0,5.0,1.0
42,9.0,6.0,1.0
43,9.0,7.0,1.0
44,9.0,8.0,1.0
45,9.0,9.0,1.0
46,9.0,10.0,1.0
47,9.0,11.0,1.0
48,9.0,12.0,0.9949999999999997
49,9.0,13.0,0.9760000000000012
50,9.0,14.0,0.9390909090909094
51,9.0,15.0,0.8847499999999974
52,9.0,16.0,0.829636363636363
53,9.0,17.0,0.7457534246575329
54,9.0,18.0,0.6559770114942521
55,9.0,19.0,0.5638947368421042
56,9.0,20.0,0.4689583333333335
57,9.0,21.0,0.37934065934065986
58,9.0,22.0,0.2962962962962958
59,9.0,23.0,0.2350000000000002
60,9.0,24.0,0.1869491525423725
61,9.0,25.0,0.14085106382978718
62,9.0,26.0,0.10702702702702706
63,9.0,27.0,0.08000000000000008
64,9.0,28.0,0.06130434782608697
65,9.0,29.0,0.037142857142857165
66,9.0,30.0,0.03083333333333335
67,9.0,31.0,0.025999999999999995
68,9.0,32.0,0.011666666666666669
69,9.0,33.0,0.012000000000000004
70,9.0,34.0,0.0
71,8.0,1.0,1.0
72,8.0,2.0,1.0
73,8.0,3.0,1.0
74,8.0,4.0,1.0
75,8.0,5.0,1.0
76,8.0,6.0,1.0
77,8.0,7.0,1.0
78,8.0,8.0,1.0
79,8.0,9.0,1.0
80,8.0,10.0,0.9949999999999997
81,8.0,11.0,0.9825000000000003
82,8.0,12.0,0.953888888888889
83,8.0,13.0,0.9173333333333322
84,8.0,14.0,0.8506122448979586
85,8.0,15.0,0.7640000000000006
86,8.0,16.0,0.6764705882352944
87,8.0,17.0,0.5686315789473697
88,8.0,18.0,0.46750000000000014
89,8.0,19.0,0.3799999999999992
90,8.0,20.0,0.29901234567901125
91,8.0,21.0,0.23043478260869585
92,8.0,22.0,0.1767857142857146
93,8.0,23.0,0.13266666666666632
94,8.0,24.0,0.09093749999999974
95,8.0,25.0,0.07192307692307687
96,8.0,26.0,0.04249999999999998
97,8.0,27.0,0.03714285714285711
98,8.0,28.0,0.020000000000000014
99,8.0,29.0,0.00999999999999999
100,8.0,30.0,0.0
101,7.0,1.0,1.0
102,7.0,2.0,1.0
103,7.0,3.0,1.0
104,7.0,4.0,1.0
105,7.0,5.0,1.0
106,7.0,6.0,1.0
107,7.0,7.0,1.0
108,7.0,8.0,1.0
109,7.0,9.0,1.0
110,7.0,10.0,0.9949999999999997
111,7.0,11.0,0.9332000000000007
112,7.0,12.0,0.8675555555555552
113,7.0,13.0,0.7818181818181829
114,7.0,14.0,0.680476190476192
115,7.0,15.0,0.5831914893617065
116,7.0,16.0,0.4736458333333329
117,7.0,17.0,0.37406593406593286
118,7.0,18.0,0.2990123456790121
119,7.0,19.0,0.2196969696969698
120,7.0,20.0,0.15884615384615394
121,7.0,21.0,0.12048780487804882
122,7.0,22.0,0.08709677419354847
123,7.0,23.0,0.057142857142857224
124,7.0,24.0,0.03642857142857142
125,7.0,25.0,0.03714285714285711
126,7.0,26.0,0.024545454545454547
127,7.0,27.0,0.01200000000000001
128,7.0,28.0,0.004999999999999999
129,7.0,29.0,0.004999999999999999
130,7.0,30.0,0.0
131,6.0,1.0,1.0
132,6.0,2.0,1.0
133,6.0,3.0,1.0
134,6.0,4.0,1.0
135,6.0,5.0,1.0
136,6.0,6.0,1.0
137,6.0,7.0,1.0
138,6.0,8.0,0.9899999999999998
139,6.0,9.0,0.949999999999999
